;;;;

					241				;4

					1381				;Equações Diofantinas;Matemática;
					248				;5

					1382				;Elementar, meu Caro Watson!;Estruturas e Bibliotecas;
					523				;3

					1383				;Sudoku;Ad-Hoc;
					2.395				;2

					1384				;Sapo Preguiçoso;Grafos;
					122				;7

					1385				;Recuperação de Relatório;Strings;
					22				;7

					1386				;Códigos Ambíguos;Strings;
					23				;7

					1387				;Og;Ad-Hoc;
					5.614				;1

					1388				;Onde Estão as Bolhas?;Estruturas e Bibliotecas;
					173				;6

					1389				;O Problema do Sapateiro Viajante;Grafos;
					57				;8

					1390				;Bases;Matemática;
					29				;7

					1391				;Quase Menor Caminho;Grafos;
					219				;7

					1392				;Conta de Luz;Matemática;
					146				;5

					1393				;Lajotas Hexagonais;Matemática;
					1.431				;2

					1394				;Hooligan;Grafos;
					189				;5

					1395				;Números e Operações;Paradigmas;
					15				;8

					1396				;Hoje tem Prova da Cris!;Paradigmas;
					146				;4

					1397				;Jogo do Maior;Ad-Hoc;
					4.675				;1

					1398				;Oceano Profundo! Faça-o Raso!!;Matemática;
					494				;3

					1399				;Transformador de Matriz;Matemática;
					181				;5

					1400				;Jogo - Contando;Matemática;
					444				;3

					1401				;Gerando Permutações Ordenadas Rapidamente;Estruturas e Bibliotecas;
					917				;3

					1402				;Será Que Indiana Jones Chega Lá?;Grafos;
					59				;6

					1403				;Meu Avô é Famoso;Ad-Hoc;
					715				;5

					1404				;MegaDamas;Ad-Hoc;
					144				;4

					1405				;O Problema da Parada;Estruturas e Bibliotecas;
					22				;8

					1406				;Jukebox;Strings;
					22				;7

					1407				;Loteria de Fim de Semana;Ad-Hoc;
					431				;3

					1408				;Mário;Paradigmas;
					232				;6

					1409				;Zak Galou;Grafos;
					211				;7

					1410				;Ele Está Impedido!;Ad-Hoc;
					1.643				;2

					1411				;Encolhendo Polígonos;Geometria Computacional;
					47				;7

					1412				;Cadeado com Segredo;Paradigmas;
					80				;7

					1413				;Apresse-se!;Grafos;
					65				;7

					1414				;Copa do Mundo;Ad-Hoc;
					1.125				;2

					1415				;Galou Está de Volta!;Grafos;
